NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
ESPIRONOLACTONA,DIURETICOS SIMPLES,ESPIRONOLACTONA
ESPRAN,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
ESTALIS,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE NORETISTERONA +  ESTRADIOL
ESTOLATO DE ERITROMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,ESTOLATO DE ERITROMICINA
ESTOMADEFENS,ANTIULCEROSOS,OMEPRAZOL MICROGRANULADOS
ESTOMANOL,ANTIACIDO,BICARBONATO DE SÓDIO +  CARBONATO DE CÁLCIO +  CARBONATO DE SÓDIO
ESTOMAZIL,ANTIACIDO,BICARBONATO DE SÓDIO +  CARBONATO DE SÓDIO +  ÁCIDO CÍTRICO
ESTOMAZIL PASTILHAS,ANTIACIDO,CARBONATO DE CÁLCIO 90% +  HIDRÓXIDO DE ALUMÍNIO +  HIDRÓXIDO DE MAGNÉSIO
ESTRADIOL,ESTROGENOS SIMPLES,
ESTRADIOL+ACETATO DE NORETISTERONA,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE NORETISTERONA +  ESTRADIOL
ESTRADOT,ESTROGENOS SIMPLES,ESTRADIOL HEMI-HIDRATADO
ESTREVA,ESTROGENOS SIMPLES,ESTRADIOL HEMI-HIDRATADO
ESTRIONIL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS,ESTRIOL
ESTROGENIOS CONJUGADOS + ACETATO DE MEDROXIPROGESTERONA,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE MEDROXIPROGESTERONA +  ESTROGÊNIOS CONJUGADOS
ETHAMOLIN,ESCLEROSANTES E COAGULANTES,OLEATO DE MONOETANOLAMINA
ETILEFRIL,HIPERTENSOR,CLORIDRATO DE ETILEFRINA
ETINILESTRADIOL+DESOGESTREL,ANTICONCEPCIONAIS,DESOGESTREL +  ETINILESTRADIOL
ETIRA,ANTICONVULSIVANTES,LEVETIRACETAM
ETNA,OUTROS ANTIANEMICOS,ACETATO DE HIDROXOCOBALAMINA +  CITIDINA 5''-MONOFOSFATO DISSÓDICO +  FOSFATO DISSÓDICO DE CITIDINA +  URIDINA-5''-TRIFOSFATO TRISSÓDICA +  TRIFOSFATO TRISSÓDICO DE URIDINA
ETOD,ANTINFLAMATORIOS ANTIREUMATICOS,ETODOLACO
ETODOLACO,ANTINFLAMATORIOS ANTIREUMATICOS,ETODOLACO
ETOMIDATO,HIPNOTICOS,ETOMIDATO
ETOPOS,ANTINEOPLASICO,ETOPOSIDO
ETOPOSÍDEO,ANTINEOPLASICO,ETOPOSÍDEO
ETOXIN,ANTICONVULSIVANTES,ETOSSUXIMIDA
EUCAPROL,FITOTERAPICO SIMPLES,EUCALYPTUS GLOBULUS LABILL.
EUDOK,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
EUPEPT,ANTIULCEROSOS,OMEPRAZOL
EUPHORBIUM COMPOSITUM SN,MEDICAMENTOS DINAMIZADOS COMPOSTOS,ARGENTUM NITRICUM +  EUPHORBIA RESINIFERA +  HEPAR SULPHUR +  HYDRAGIUM BIIODATUM +  LUFFA OPERCULATA +  PULSATILLA
EUPRESSIN,ANTI-HIPERTENSIVOS SIMPLES,MALEATO DE ENALAPRIL
EUPRESSIN H,ANTI-HIPERTENSIVOS,HIDROCLOROTIAZIDA +  MALEATO DE ENALAPRIL
EUPROSTATIN,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,MESILATO DE DOXAZOSINA
EUTHYROX,HORMONIOS TIREOIDEANOS SIMPLES OU ASSOCIADOS ENTRE SI,LEVOTIROXINA SÓDICA
EUTROPIN,HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO,SOMATROPINA
EUTYMIA XL,ANTIDEPRESSIVOS,CLORIDRATO DE BUPROPIONA
EUVAX B,VACINAS,ANTÍGENO DE SUPERFÍCIE DA HEPATITE B
EVANOR,ANTICONCEPCIONAIS,ETINILESTRADIOL +  LEVONORGESTREL
EVICEL,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS,CLORETO DE CÁLCIO +  FIBRINOGÊNIO +  TROMBINA
EVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),EFAVIRENZ
EVISTA,SUPRESSORES DA REABSORCAO OSSEA,CLORIDRATO DE RALOXIFENO
EVOBRIG,OUTROS AGENTES ANTINEOPLÁSICOS,BRIGATINIBE
EVOCARB,ANTINEOPLASICO,CARBOPLATINA
EVOCLASS,ANTINEOPLASICO,CLORIDRATO DE DAUNORRUBICINA
EVODAZIN,ANTINEOPLASICO,DACARBAZINA
EVOFLUBINA,ANTINEOPLASICO,FOSFATO DE FLUDARABINA
EVOLOX,ANTINEOPLASICO,IFOSFAMIDA
EVOMID,ANTINEOPLASICOS CITOTOXICOS,CLORIDRATO DE IDARRUBICINA
EVOMIXAN,ANTINEOPLASICO,CLORIDRATO DE MITOXANTRONA
EVOPOSDO,ANTINEOPLASICO,ETOPOSIDO
EVORUBICIN,ANTIBIOTICOS ANTINEOPLASICOS,CLORIDRATO DE DOXORRUBICINA
EVOTABINA,ANTINEOPLASICOS CITOTOXICOS,HEMITARTARATO DE VINORELBINA
EVOTAXEL,ANTINEOPLASICO,PACLITAXEL
EVOTECAN,ANTINEOPLASICO,CLORIDRATO DE TOPOTECANA
EVOTERIN,ANTINEOPLASICO,CLORIDRATO DE IRINOTECANO TRIIDRATADO
EVOXALI,CITOSTATICOS ALQUILANTES,OXALIPLATINA
EVOZAR,ANTINEOPLASICO,CLORIDRATO DE GENCITABINA
EVRA,ANTICONCEPCIONAIS,ETINILESTRADIOL +  NORELGESTROMINA
EVRYSDI,OUTROS MEDICAMENTOS PARA TRANSTORNOS DO SISTEMA MÚSCULO-ESQUELÉTICO,RISDIPLAM
EXAFOB,ANTICONVULSIVANTES,LAMOTRIGINA
EXCALV,INIBIDOR DA ALFA-REDUTASE,FINASTERIDA
EXELMIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,CAMBENDAZOL +  MEBENDAZOL
EXELON,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,HIDROGENOTARTARATO DE RIVASTIGMINA +  RIVASTIGMINA
EXEMESTANO,ANTINEOPLASICO,EXEMESTANO
EXFORGE HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  HIDROCLOROTIAZIDA +  VALSARTANA
EXHER,AGENTES ANTINEOPLÁSICOS,EVEROLIMO
EXJADE,AGENTE QUELANTE DE FERRO,DEFERASIROX
EXODUS,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
EXPEC,EXPECTORANTES BALSAMICOS E MUCOLITICO,BENZOATO DE SÓDIO +  CLORIDRATO DE OXOMEMAZINA +  GUAIFENESINA +  IODETO DE POTÁSSIO
EXPECTAMIN,EXPECTORANTES BALSAMICOS E MUCOLITICO,GUAIFENESINA +  MALEATO DE DEXCLORFENIRAMINA +  SULFATO DE PSEUDOEFEDRINA
EXPECTOFLUI,EXPECTORANTES,GUAIFENESINA
EXPECTOVIC,EXPECTORANTES,GUAIFENESINA
EXPECTRAT,EXPECTORANTES + FITOTERAPICO SIMPLES,MIKANIA GLOMERATA SPRENG.
EXPECTUSS,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
EXTODIN,HIPNOTICOS,CLORIDRATO DE DEXMEDETOMIDINA
EXTRALERG,IMUNOMODULADOR,LISADO BACTERIANO
EXTRANEAL,SOLUCOES PARA DIALISE PERITONIAL,CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE SÓDIO +  ICODEXTRINA +  LACTATO DE SÓDIO +  CLORETO DE CÁLCIO DIIDRATADO
EXTRATO ALERGENICO DE DERIVADOS EPIDERMICOS,ALERGENOS,PROTEÍNAS
EXTRATO ALERGÊNICO BACTERIANO,ALERGENOS,PROTEÍNAS
EXTRATO ALERGÊNICO DE ALIMENTOS,ALERGENOS,PROTEÍNAS
EXTRATO ALERGÊNICO DE INSETOS,ALERGENOS,PROTEÍNAS
EXTRATO ALERGÊNICO DE POLENS DEPOT,ALERGENOS,PROTEÍNAS
EXTRATO DE CÉLULAS TÍMICAS,IMUNOMODULADOR,TIMOSTIMULINA
EXTRATOS ALERGÊNICOS DE ÁCAROS CONCENTRADOS,ALERGENOS,PROTEÍNAS
EZ-TEC99m,AGENTES DIAGNOSTICOS RADIOATIVOS,PERTECNETATO DE SÓDIO (99M TC)
EZAFER,AGENTE QUELANTE DE FERRO,DEFERASIROX
EZET,ANTILIPEMICOS,EZETIMIBA
EZETIMIBA,ANTILIPEMICOS,EZETIMIBA
EZETIMIBA+SINVASTATINA,ANTILIPEMICOS,EZETIMIBA +  SINVASTATINA
EZETROL,ANTILIPEMICOS,EZETIMIBA
EZONIA,HIPNOTICOS,ESZOPICLONA
EZOPEN,ANTIVIROTICOS,ACICLOVIR +  ACICLOVIR SÓDICO
Eklira,ANTICOLINÉRGICOS,BROMETO DE ACLIDÍNIO
Elaprase,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,IDURSULFASE
Empliciti,ANTINEOPLASICO,ELOTUZUMABE
Enbrel,ANTINFLAMATORIOS,ETANERCEPTE (TNFR:FC)
Engerix B,VACINAS,ANTÍGENO DE SUPERFÍCIE DA HEPATITE B
Eniagor,ANTIALOPECIA,MINOXIDIL
Enoxalow,ANTITROMBOTICO,ENOXAPARINA SÓDICA
Enspryng,IMUNOSSUPRESSORES SELETIVOS,SATRALIZUMABE
Entresto,AGENTES QUE ATUAM NO SISTEMA RENINA-ANGIOTENSINA,SACUBITRIL VALSARTANA SÓDICA HIDRATADA
Epclusa,ANTIVIRAIS,VELPATASVIR +  SOFOSBUVIR
Epiduo,PRODUTOS ANTI-ACNE,ADAPALENO +  PERÓXIDO DE BENZOÍLA
Epinefrina,,EPINEFRINA
Erelzi,ANTINFLAMATORIOS,ETANERCEPTE
Erfandel,OUTROS AGENTES ANTINEOPLÁSICOS,ERDAFITINIBE
Erleada,AGENTES ANTINEOPLÁSICOS + ANTIANDRÓGENOS,APALUTAMIDA
Esbriet,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,PIRFENIDONA
Espironolactona,DIURETICOS SIMPLES,ESPIRONOLACTONA
Euflexxa,ANTINFLAMATORIOS ANTIREUMATICOS,HIALURONATO DE SÓDIO
Evenity,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,ROMOSOZUMABE
Everolimo,AGENTES ANTINEOPLÁSICOS,EVEROLIMO
Exfuno,ANTIBIOTICOS SISTEMICOS SIMPLES,DAPTOMICINA
Extrato Alergênico de Pólen,ALERGENOS,PROTEÍNAS
Extrato Alergênico de Ácaros,ALERGENOS,PROTEÍNAS
Eylia,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,AFLIBERCEPTE
Ezetimiba,ANTILIPEMICOS,EZETIMIBA
Ezetimiba + Sinvastatina,ANTILIPEMICOS,EZETIMIBA +  SINVASTATINA
FABRAZYME,ENZIMA PARA REPOSIÇAO,BETA-AGALSIDASE
FACOBA®,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,CLORIDRATO DE MOXIFLOXACINO +  FOSFATO DISSÓDICO DE DEXAMETASONA
FACTANE,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS,FATOR VIII DE COAGULAÇÃO
FACTIVE,ANTIBIOTICOS SISTEMICOS SIMPLES,MESILATO DE GEMIFLOXACINO
FAMOX,ANTIACIDOS E ANTIULCEROSOS,FAMOTIDINA
FAMPYRA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,FAMPRIDINA
FANCICLOVIR,ANTIVIROTICOS,FANCICLOVIR
FANCLOMAX,ANTIVIROTICOS,FANCICLOVIR
FANHDI,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FATOR VIII DE COAGULAÇÃO
FANORM,ANTIARRITMICOS,CLORIDRATO DE PROPAFENONA
FAR MANGUINHOS-DIAZEPAM,ANSIOLITICOS SIMPLES,DIAZEPAM
FAR- MANGUINHOS ACIDO FOLICO,ANTIANEMICOS,ÁCIDO FÓLICO
FAR-MANGUINHOS CAPTOPRIL,ANTI-HIPERTENSIVOS,CAPTOPRIL
FAR-MANGUINHOS PRAZIQUANTEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,PRAZIQUANTEL
FAR-MANGUINHOS VITAMINA A,VITAMINAS E SUPLEMENTOS MINERAIS,PALMITATO DE RETINOL
FAR-MANGUINHOS ZIDOVUDINA,ANTIVIROTICOS,ZIDOVUDINA
FAR-MANGUINHOS-LAMIVUDINA+ZIDOVUDINA,ANTIVIROTICOS,LAMIVUDINA +  ZIDOVUDINA
FARLAC,LAXANTES,LACTULOSE
FARMACART,PRODUTOS PARA HEMODIALISE,BICARBONATO DE SÓDIO
FARMACE - RINGER,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,CLORETO DE CÁLCIO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO
FARMACE -AGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS,ÁGUA PARA INJETÁVEIS QSP +  ÁGUA PARA INJEÇÃO +  ÁGUA PARA INJEÇÃO
"FARMACE CPHD - FRAÇÃO ÁCIDA COM CÁLCIO 2,5 mEq/L",PRODUTOS PARA HEMODIALISE,CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  CLORETO DE CÁLCIO DIIDRATADO +  ÁCIDO ACÉTICO
FARMACE-GLICOSE,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,GLICOSE ANIDRA
FARMACE-GLICOSE 5% SOLUÇÃO ISOTONICA,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,GLICOSE
FARMAFLAN,ANTINFLAMATORIOS,DICLOFENACO DIETILAMÔNIO
FARMANGUINHOS - ETIONAMIDA,TUBERCULOSTATICOS,ETIONAMIDA
FARMANGUINHOS - FENOBARBITAL,ANTICONVULSIVANTES,FENOBARBITAL
FARMANGUINHOS - ISONIAZIDA,TUBERCULOSTATICOS,ISONIAZIDA
FARMANGUINHOS - NEVIRAPINA,ANTIVIROTICOS,NEVIRAPINA
FARMANGUINHOS -LAMIVUDINA,ANTIVIROTICOS,LAMIVUDINA
FARMANGUINHOS OSELTAMIVIR,ANTIVIROTICOS,FOSFATO DE OSELTAMIVIR
FARMANGUINHOS PRIMAQUINA,ANTIMALÁRICOS,DIFOSFATO DE PRIMAQUINA
FARMANGUINHOS SULFATO FERROSO,ANTIANEMICOS SIMPLES,SULFATO FERROSO
FARMARIN CPHD,PRODUTOS PARA HEMODIALISE,CLORETO DE CÁLCIO +  CLORETO DE MAGNÉSIO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  DEXTROSE ANIDRA +  GLICOSE +  ÁCIDO ACÉTICO +  ÁCIDO ACÉTICO GLACIAL
FARMOXICAM,ANTINFLAMATORIOS,PIROXICAM
FASENRA,OUTROS ANTIALERGICOS,BENRALIZUMABE
FASLODEX,ANTINEOPLASICO,FULVESTRANTO
FASTFEN,ANALGESICOS NARCOTICOS,CITRATO DE SUFENTANILA
FASYS,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ACICLOVIR
FATOR IX DE COAGULAÇÃO HEMOBRÁS,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS,FATOR IX DE COAGULAÇÃO
FATOR IX GRIFOLS,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FATOR IX DE COAGULAÇÃO
FATOR VIII DE COAGULAÇÃO HEMOBRÁS,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO",FATOR VIII DE COAGULAÇÃO
FAULBLASTINA,ANTINEOPLASICO,SULFATO DE VIMBLASTINA
FAULDACAR,OUTROS ANTINEOPLASICOS,DACARBAZINA
FAULDCARBO,ANTINEOPLASICO,CARBOPLATINA
FAULDCISPLA,ANTINEOPLASICOS CITOTOXICOS,CISPLATINA
FAULDCITA,ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA,CITARABINA
FAULDFLUOR,ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA,FLUORURACILA
FAULDLEUCO,ANTIMETABOLICOS ANTAGONISTAS DO ACIDO FOLICO,FOLINATO DE CÁLCIO
FAULDMETRO,ANTIMETABOLICOS ANTAGONISTAS DO ACIDO FOLICO,METOTREXATO
FAULDOXO,ANTIBIOTICOS ANTINEOPLASICOS,CLORIDRATO DE DOXORRUBICINA
FAULDVINCRI,ANTINEOPLASICOS CITOTOXICOS,SULFATO DE VINCRISTINA
FAXXA,ANTITROMBOTICO,RIVAROXABANA
FAZOLIX,ANTIBIOTICOS SISTEMICOS SIMPLES,CEFAZOLINA SÓDICA
FAZOLON,CEFALOSPORINAS,CEFAZOLINA SÓDICA
FDG,AGENTES DIAGNOSTICOS RADIOATIVOS,FLUDESOXIGLICOSE 18F
FEBUPEN,ANTINFLAMATORIOS,ACECLOFENACO
FEIBA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,COMPLEXO PROTROMBÍNICO PARCIALMENTE ATIVADO
FELDENE,ANTINFLAMATORIOS,PIROXICAM
FELISSA,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
FEMARA,ANTINEOPLASICO,LETROZOL
FEMIANE,ANTICONCEPCIONAIS,ETINILESTRADIOL +  GESTODENO
FEMIGESTROL,ANTINEOPLASICO,ACETATO DE MEGESTROL
FEMINA,ANTICONCEPCIONAIS,DESOGESTREL +  ETINILESTRADIOL
FEMME,POLIVITAMINICOS COM MINERAIS,ACETATO DE RACEALFATOCOFEROL +  ACETATO DE RETINOL +  BIOTINA +  CARBONATO DE CÁLCIO +  CIANOCOBALAMINA 0 + 1% +  CLORETO DE CROMO +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  ESTEARATO DE MAGNÉSIO +  FUMARATO FERROSO +  MISTURA DE IODETO DE POTÁSSIO +  NICOTINAMIDA +  NITRATO DE TIAMINA +  PANTOTENATO CALCICO +  RIBOFLAVINA +  SULFATO DE MANGANÊS MONOIDRATADO +  ÁCIDO ASCÓ
FEMME COM FLÚOR,POLIVITAMINICOS COM MINERAIS,ACETATO DE RACEALFATOCOFEROL +  ACETATO DE RETINOL +  BIOTINA +  CARBONATO DE CÁLCIO +  CIANOCOBALAMINA +  CLORETO DE CROMO +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  FLUORETO DE SÓDIO +  FUMARATO FERROSO +  MISTURA DE IODETO DE POTÁSSIO +  MONONITRATO DE TIAMINA +  NICOTINAMIDA +  PANTOTENATO CALCICO +  RIBOFLAVINA +  SULFATO DE MANGANÊS +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLIC
FEMME FOLICO,ANTIANEMICOS,ÁCIDO FÓLICO
FEMMESIL,ANTI-FUNGICOS,NITRATO DE BUTOCONAZOL
FEMOSTON,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,DIDROGESTERONA +  ESTRADIOL HEMI-HIDRATADO
FEMYNAZOL,ANTI-FUNGICOS,NITRATO DE BUTOCONAZOL
FEN,ANTINFLAMATORIOS ANTIREUMATICOS,ÁCIDO MEFENÂMICO
FENAFLAN,ANTINFLAMATORIOS,AMIDO +  DICLOFENACO DIETILAMÔNIO +  DICLOFENACO POTÁSSICO +  DICLOFENACO ÁCIDO
FENAFLAN,ANTINFLAMATORIOS,DICLOFENACO RESINATO
FENAFLEX - ODC,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA +  CITRATO DE ORFENADRINA +  DIPIRONA
FENAREN,ANTINFLAMATORIOS,DICLOFENACO DIETILAMÔNIO +  DICLOFENACO SÓDICO
FENAXXE,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE FEXOFENADINA
FENAZIC,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,BROMIDRATO DE DARIFENACINA
FENBIP,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,CETOPROFENO
FENDICAL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,FINASTERIDA
FENERGAN,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE PROMETAZINA
FENILEFRIN,VASOCONSTRITORES E HIPERTENSORES,CLORIDRATO DE FENILEFRINA
FENIRAX,ANTI-HISTAMINICOS SISTEMICOS,MALEATO DE DEXCLORFENIRAMINA
FENITAL,ANTICONVULSIVANTES,FENITOÍNA SÓDICA
FENITAL ORAL,ANTICONVULSIVANTES,FENITOÍNA
FENITOINA SODICA,ANTICONVULSIVANTES,FENITOÍNA SÓDICA
FENITOÍNA,ANTICONVULSIVANTES,FENITOÍNA
FENITOÍNA SÓDICA,ANTICONVULSIVANTES,FENITOÍNA SÓDICA
FENLOC,ANTINFLAMATORIOS,ACECLOFENACO
FENOBARBITAL,ANTICONVULSIVANTES,FENOBARBITAL +  FENOBARBITAL SÓDICO
FENOBARBITAL (PORT. 344/98 LISTA B1),ANTICONVULSIVANTES,FENOBARBITAL
FENOBRATY,ANTILIPEMICOS,FENOFIBRATO
FENOCRIS,ANTICONVULSIVANTES,FENOBARBITAL +  FENOBARBITAL SÓDICO
FENOFIBRATO,ANTILIPEMICOS,FENOFIBRATO
FENOSUPREX,AGENTE IMUNOSUPRESSOR,MICOFENOLATO DE SÓDIO
FENOXIMETILPENICILINA POTASSICA,FENOXIPENICILINAS,FENOXIMETILPENICILINA POTÁSSICA
FENTANEST,ANALGESICOS NARCOTICOS,CITRATO DE FENTANILA
FENTANIL,ANALGESICOS NARCOTICOS,CITRATO DE FENTANILA
FENTEUDINI,BRONCODILATADORES,BROMIDRATO DE FENOTEROL
FENTIZOL,ANTIMICOTICOS PARA USO TOPICO,NITRATO DE FENTICONAZOL
FERANE 35,ANDROGENOS SIMPLES,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
FERID,ANTINFECCIOSOS TOPICOS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
FERINJECT,ANTIANEMICOS SIMPLES,CARBOXIMALTOSE FERRICA
FEROXENE,ANTINFLAMATORIOS,PIROXICAM
FERRIPROX,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,DEFERIPRONA
FERRO,ANTIANEMICOS SIMPLES,FERRIPOLIMALTOSE
FERROPURUM,ANTIANEMICOS SIMPLES,SACARATO DE HIDRÓXIDO FÉRRICO
FERTNON,ANTICONCEPCIONAIS,ETINILESTRADIOL +  GESTODENO
FERTRYX,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,FERROCARBONILA +  ÁCIDO FÓLICO
FERVEX,ANALGESICOS,PARACETAMOL
FERVITIN,ANTIANEMICOS,BISGLICINATO FERROSO +  GLICINATO FÉRRICO
FETZIM,ANTIDEPRESSIVOS,CLORIDRATO DE LEVOMILNACIPRANA
FEXX,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE FEXOFENADINA
FIBIRAX   PLANT,LAXANTES SUAVIZADORES OU EMOLIENTES,PLANTAGO OVATA FORSSK.
FIBREMS,LAXANTES SUAVIZADORES OU EMOLIENTES,PLANTAGO OVATA PHIL.
FIBRINASE COM CLORANFENICOL,CICATRIZANTES,CLORANFENICOL +  DESOXIRRIBONUCLEASE +  FIBRINOLISINA
FIBROGAMMIN P,OUTROS PRODUTOS ANTI-HEMORRAGICOS,FATOR XIII DE COAGULAÇÃO
FIBRYGA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FIBRINOGÊNIO
FIGATIL,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES + FITOTERAPICO COMPOSTO",CYNARA SCOLYMUS L. +  PEUMUS BOLDUS MOLINA
FIGLON,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,BETAÍNA +  CITRATO DE COLINA +  RACEMETIONINA
FIL,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,FILGRASTIM
FILGRASTIM,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,FILGRASTIM
FILGRASTINE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,FILGRASTIM
FILINAR,BRONCODILATADORES,ACEBROFILINA
FILINAR G,BRONCODILATADORES,ACEBROFILINA
FILMCEL,EMOLIENTES E PROTETORES OFTALMICOS,HIPROMELOSE
FINALOP,INIBIDOR DA ALFA-REDUTASE,FINASTERIDA
FINARID,INIBIDOR DA ALFA-REDUTASE,FINASTERIDA
FINASTERIDA,INIBIDOR DA ALFA-REDUTASE,FINASTERIDA
FINASTIL,INIBIDOR DA ALFA-REDUTASE,FINASTERIDA
FINEST EG,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,PANAX GINSENG C. A. MEY.
FINIFERT,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ENANTATO DE NORETISTERONA +  VALERATO DE ESTRADIOL
FIQUEZEN,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.
FIRAC,ANALGESICOS,CLONIXINATO DE LISINA
FIRAZYR,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,ACETATO DE ICATIBANTO
FIRMAGON,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,ACETATO DE DEGARELIX
FISCHIO®,ANTIASMATICOS,MONTELUCASTE DE SÓDIO
FISIOTON,FITOTERAPICO SIMPLES + NEUROPSICOESTIMULANTES,RHODIOLA ROSEA L.
FITA-TEC,AGENTES DIAGNOSTICOS RADIOATIVOS,ÁCIDO FÍTICO
FITOBRONC,FITOTERAPICO SIMPLES + OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,POLYGALA SENEGA L.
FITOCALM,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.
FITOSCAR,CICATRIZANTES + FITOTERAPICO SIMPLES,STRYPHNODENDRON ADSTRINGENS (MART.) COVILLE
FITOVEIN,ANTIVARICOSOS DE ACAO SISTEMICA + FITOTERAPICO SIMPLES,AESCULUS HIPPOCASTANUM L.
FITOVITAL,FITOTERAPICO COMPOSTO + MEDICACAO ENERGETICA,CROTON HELIOTROPIIFOLIUS KUNTH +  PAULLINIA CUPANA KUNTH +  TRICHILIA CATIGUA A.JUSS.
FIXENATO,SUPRESSORES DA REABSORCAO OSSEA,RISEDRONATO SÓDICO
FLAGIMAX,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",METRONIDAZOL
FLAGIMAX,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",BENZOILMETRONIDAZOL
FLAGYL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",METRONIDAZOL
FLAMADOR,ANTINFLAMATORIOS ANTIREUMATICOS,CETOPROFENO
FLAMADOR,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,CETOPROFENO
FLAMAPE,GLICOCORTICOIDES SISTEMICOS,PREDNISONA
FLAMATRAT,ANTINFLAMATORIOS,DICLOFENACO RESINATO
FLANAX,ANTINFLAMATORIOS,NAPROXENO SÓDICO
